Tên môn,Mã môn,Thứ (2-8),Giờ bắt đầu,Giờ kết thúc,Phòng,Giảng viên
Giải tích 1,MA1010,2,07:00,09:30,B1-301,Nguyễn Văn An
Vật lý đại cương 1,PH1010,2,13:00,15:30,C9-101,Trần Thị Bình
Lập trình hướng đối tượng,IT3080,3,07:00,09:30,B1-401,Lê Văn Chính
Triết học Mác - Lênin,SSH1110,3,13:00,15:30,C7-201,Phạm Thị Dung
Giải tích 1,MA1010,4,09:45,12:15,B1-301,Nguyễn Văn An
Cơ sở dữ liệu,IT3090,4,13:00,15:30,B4-Lab1,Hoàng Văn Em
Lập trình hướng đối tượng,IT3080,5,07:00,09:30,B4-Lab2,Lê Văn Chính
Vật lý đại cương 1,PH1010,5,13:00,14:30,C9-201,Trần Thị Bình
Cơ sở dữ liệu,IT3090,6,07:00,09:30,B1-402,Hoàng Văn Em
Tiếng Anh B1,FL1101,6,09:45,11:15,D3-201,Smith John
